Token,is_Stop_Word,Lemmatized,Tag,Tag Explanation,Part of Speech Tag,Dependency Parsing
 ,False, ,_SP,whitespace,SPACE,dep
was,True,be,VBD,"verb, past tense",AUX,auxpass
later,False,later,RB,adverb,ADV,advmod
absorbed,False,absorb,VBN,"verb, past participle",VERB,ROOT
into,True,into,IN,"conjunction, subordinating or preposition",ADP,prep
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
security,False,security,NN,"noun, singular or mass",NOUN,compound
forces,False,force,NNS,"noun, plural",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
Former,True,former,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
dictator,False,dictator,NN,"noun, singular or mass",NOUN,compound
Omar,False,Omar,NNP,"noun, proper singular",PROPN,compound
al,False,al,NNP,"noun, proper singular",PROPN,compound
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
Bashir,False,Bashir,NNP,"noun, proper singular",PROPN,nsubj
gave,False,give,VBD,"verb, past tense",VERB,ROOT
Hemedti,False,Hemedti,NNP,"noun, proper singular",PROPN,dative
a,True,a,DT,determiner,DET,det
nickname,False,nickname,NN,"noun, singular or mass",NOUN,dobj
:,False,:,:,"punctuation mark, colon or ellipsis",PUNCT,punct
Hemayti,False,Hemayti,NNP,"noun, proper singular",PROPN,ROOT
",",False,",",",","punctuation mark, comma",PUNCT,punct
“,False,"""",``,opening quotation mark,PUNCT,punct
my,True,my,PRP$,"pronoun, possessive",PRON,poss
protector,False,protector,NN,"noun, singular or mass",NOUN,appos
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
Before,True,before,IN,"conjunction, subordinating or preposition",SCONJ,mark
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
current,False,current,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
war,False,war,NN,"noun, singular or mass",NOUN,nsubj
erupted,False,erupt,VBD,"verb, past tense",VERB,advcl
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
mid,False,mid,NNP,"noun, proper singular",PROPN,pobj
-,False,-,NNP,"noun, proper singular",PROPN,pobj
April,False,April,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
Hemedti,False,Hemedti,NNP,"noun, proper singular",PROPN,nsubj
was,True,be,VBD,"verb, past tense",AUX,ROOT
the,True,the,DT,determiner,DET,det
second,False,second,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
most,True,most,RBS,"adverb, superlative",ADV,advmod
powerful,False,powerful,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
person,False,person,NN,"noun, singular or mass",NOUN,attr
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
government,False,government,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
He,True,he,PRP,"pronoun, personal",PRON,nsubj
allied,False,ally,VBD,"verb, past tense",VERB,ROOT
with,True,with,IN,"conjunction, subordinating or preposition",ADP,prep
his,True,his,PRP$,"pronoun, possessive",PRON,poss
now,True,now,RB,adverb,ADV,advmod
bitter,False,bitter,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
enemy,False,enemy,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
Burhan,False,Burhan,NNP,"noun, proper singular",PROPN,appos
",",False,",",",","punctuation mark, comma",PUNCT,punct
to,True,to,TO,"infinitival ""to""",PART,aux
stifle,False,stifle,VB,"verb, base form",VERB,xcomp
a,True,a,DT,determiner,DET,det
democratic,False,democratic,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
movement,False,movement,NN,"noun, singular or mass",NOUN,dobj
that,True,that,WDT,wh-determiner,PRON,nsubj
helped,False,help,VBD,"verb, past tense",VERB,relcl
overthrow,False,overthrow,VB,"verb, base form",VERB,amod
dictator,False,dictator,NN,"noun, singular or mass",NOUN,compound
Bashir,False,Bashir,NNP,"noun, proper singular",PROPN,dobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
2019,False,2019,CD,cardinal number,NUM,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
The,True,the,DT,determiner,DET,det
two,True,two,CD,cardinal number,NUM,nummod
generals,False,general,NNS,"noun, plural",NOUN,nsubj
then,True,then,RB,adverb,ADV,advmod
aligned,False,align,VBN,"verb, past participle",VERB,ROOT
to,True,to,TO,"infinitival ""to""",PART,aux
lead,False,lead,VB,"verb, base form",VERB,advcl
a,True,a,DT,determiner,DET,det
coup,False,coup,NN,"noun, singular or mass",NOUN,dobj
against,True,against,IN,"conjunction, subordinating or preposition",ADP,prep
an,True,an,DT,determiner,DET,det
internationally,False,internationally,RB,adverb,ADV,advmod
recognized,False,recognize,VBN,"verb, past participle",VERB,amod
transitional,False,transitional,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
government,False,government,NN,"noun, singular or mass",NOUN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
2021,False,2021,CD,cardinal number,NUM,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
crushed,False,crush,VBD,"verb, past tense",VERB,conj
a,True,a,DT,determiner,DET,det
pro,False,pro,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
-,False,-,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
democracy,False,democracy,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
protest,False,protest,NN,"noun, singular or mass",NOUN,compound
movement,False,movement,NN,"noun, singular or mass",NOUN,dobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
More,True,More,JJR,"adjective, comparative",ADJ,amod
than,True,than,IN,"conjunction, subordinating or preposition",ADP,quantmod
100,False,100,CD,cardinal number,NUM,nummod
protesters,False,protester,NNS,"noun, plural",NOUN,nsubjpass
were,True,be,VBD,"verb, past tense",AUX,auxpass
killed,False,kill,VBN,"verb, past participle",VERB,ROOT
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
2021,False,2021,CD,cardinal number,NUM,nummod
anti,False,anti,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
-,False,-,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
coup,False,coup,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
demonstrations,False,demonstration,NNS,"noun, plural",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"  
     
            ",False,"  
     
            ",_SP,whitespace,SPACE,dep
Their,True,their,PRP$,"pronoun, possessive",PRON,poss
rivalry,False,rivalry,NN,"noun, singular or mass",NOUN,nsubj
flared,False,flare,VBN,"verb, past participle",VERB,ROOT
into,True,into,IN,"conjunction, subordinating or preposition",ADP,prep
open,False,open,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
warfare,False,warfare,NN,"noun, singular or mass",NOUN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
mid,False,mid,NNP,"noun, proper singular",PROPN,pobj
-,False,-,NNP,"noun, proper singular",PROPN,pobj
April,False,April,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
CNN,False,CNN,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
reporting,False,reporting,NN,"noun, singular or mass",NOUN,nsubj
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
found,False,find,VBN,"verb, past participle",VERB,conj
that,True,that,IN,"conjunction, subordinating or preposition",SCONJ,mark
Wagner,False,Wagner,NNP,"noun, proper singular",PROPN,nsubj
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
dropped,False,drop,VBN,"verb, past participle",VERB,ccomp
its,True,its,PRP$,"pronoun, possessive",PRON,poss
wholesale,False,wholesale,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
support,False,support,NN,"noun, singular or mass",NOUN,dobj
for,True,for,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
military,False,military,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
junta,False,junta,NN,"noun, singular or mass",NOUN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
order,False,order,NN,"noun, singular or mass",NOUN,pobj
to,True,to,TO,"infinitival ""to""",PART,aux
back,True,back,VB,"verb, base form",VERB,acl
one,True,one,CD,cardinal number,NUM,nummod
side,True,side,NN,"noun, singular or mass",NOUN,dobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
conflict,False,conflict,NN,"noun, singular or mass",NOUN,pobj
–,False,–,:,"punctuation mark, colon or ellipsis",PUNCT,punct
the,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,appos
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
The,True,the,DT,determiner,DET,det
UN,False,UN,NNP,"noun, proper singular",PROPN,nsubj
says,False,say,VBZ,"verb, 3rd person singular present",VERB,ROOT
at,True,at,IN,"conjunction, subordinating or preposition",ADP,advmod
least,True,least,JJS,"adjective, superlative",ADJ,advmod
860,False,860,CD,cardinal number,NUM,nummod
people,False,people,NNS,"noun, plural",NOUN,nsubjpass
have,True,have,VBP,"verb, non-3rd person singular present",AUX,aux
been,True,be,VBN,"verb, past participle",AUX,auxpass
killed,False,kill,VBN,"verb, past participle",VERB,ccomp
since,True,since,IN,"conjunction, subordinating or preposition",SCONJ,prep
the,True,the,DT,determiner,DET,det
start,False,start,NN,"noun, singular or mass",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
current,False,current,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
conflict,False,conflict,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
with,True,with,IN,"conjunction, subordinating or preposition",ADP,prep
about,True,about,RB,adverb,ADV,advmod
"6,000",False,"6,000",CD,cardinal number,NUM,pobj
injured,False,injure,VBN,"verb, past participle",VERB,acl
across,True,across,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
country,False,country,NN,"noun, singular or mass",NOUN,pobj
as,True,as,IN,"conjunction, subordinating or preposition",ADP,prep
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
June,False,June,NNP,"noun, proper singular",PROPN,pobj
3,False,3,CD,cardinal number,NUM,nummod
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
Around,True,around,IN,"conjunction, subordinating or preposition",ADP,quantmod
half,False,half,PDT,predeterminer,DET,quantmod
a,True,a,DT,determiner,DET,quantmod
million,False,million,CD,cardinal number,NUM,nummod
people,False,people,NNS,"noun, plural",NOUN,nsubj
have,True,have,VBP,"verb, non-3rd person singular present",AUX,aux
fled,False,flee,VBN,"verb, past participle",VERB,ROOT
Sudan,False,Sudan,NNP,"noun, proper singular",PROPN,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
with,True,with,IN,"conjunction, subordinating or preposition",ADP,prep
more,True,more,JJR,"adjective, comparative",ADJ,amod
than,True,than,IN,"conjunction, subordinating or preposition",ADP,quantmod
1.4,False,1.4,CD,cardinal number,NUM,compound
million,False,million,CD,cardinal number,NUM,nsubj
internally,False,internally,RB,adverb,ADV,advmod
displaced,False,displace,VBN,"verb, past participle",VERB,pcomp
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
A,True,a,DT,determiner,DET,det
near,False,near,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
shutdown,False,shutdown,NN,"noun, singular or mass",NOUN,nsubj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
telecommunications,False,telecommunication,NNS,"noun, plural",NOUN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,pobj
means,False,mean,VBZ,"verb, 3rd person singular present",VERB,ROOT
that,True,that,IN,"conjunction, subordinating or preposition",SCONJ,mark
most,True,most,JJS,"adjective, superlative",ADJ,nsubj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
information,False,information,NN,"noun, singular or mass",NOUN,pobj
about,True,about,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
violence,False,violence,NN,"noun, singular or mass",NOUN,pobj
now,True,now,RB,adverb,ADV,advmod
playing,False,play,VBG,"verb, gerund or present participle",VERB,acl
out,True,out,RP,"adverb, particle",ADP,prt
there,True,there,RB,adverb,ADV,advmod
has,True,have,VBZ,"verb, 3rd person singular present",AUX,aux
trickled,False,trickle,VBN,"verb, past participle",VERB,ccomp
out,True,out,RP,"adverb, particle",ADP,prt
through,True,through,IN,"conjunction, subordinating or preposition",ADP,prep
newly,False,newly,RB,adverb,ADV,advmod
arrived,False,arrive,VBN,"verb, past participle",VERB,amod
refugees,False,refugee,NNS,"noun, plural",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
Reports,False,report,NNS,"noun, plural",NOUN,nsubj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
atrocities,False,atrocity,NNS,"noun, plural",NOUN,pobj
committed,False,commit,VBN,"verb, past participle",VERB,acl
by,True,by,IN,"conjunction, subordinating or preposition",ADP,agent
RSF,False,RSF,NNP,"noun, proper singular",PROPN,compound
fighters,False,fighter,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
their,True,their,PRP$,"pronoun, possessive",PRON,poss
allied,False,ally,VBN,"verb, past participle",VERB,amod
militias,False,militia,NNS,"noun, plural",NOUN,conj
",",False,",",",","punctuation mark, comma",PUNCT,punct
clearly,False,clearly,RB,adverb,ADV,advmod
identified,False,identify,VBN,"verb, past participle",VERB,acl
by,True,by,IN,"conjunction, subordinating or preposition",ADP,agent
their,True,their,PRP$,"pronoun, possessive",PRON,poss
uniforms,False,uniform,NNS,"noun, plural",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
are,True,be,VBP,"verb, non-3rd person singular present",AUX,ROOT
consistent,False,consistent,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,acomp
across,True,across,IN,"conjunction, subordinating or preposition",ADP,prep
dozens,False,dozen,NNS,"noun, plural",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
testimonies,False,testimony,NNS,"noun, plural",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
They,True,they,PRP,"pronoun, personal",PRON,nsubj
include,False,include,VBP,"verb, non-3rd person singular present",VERB,ROOT
arbitrary,False,arbitrary,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
killings,False,killing,NNS,"noun, plural",NOUN,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
the,True,the,DT,determiner,DET,det
wholesale,False,wholesale,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
destruction,False,destruction,NN,"noun, singular or mass",NOUN,appos
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
vital,False,vital,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
civilian,False,civilian,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
infrastructure,False,infrastructure,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
the,True,the,DT,determiner,DET,det
looting,False,looting,NN,"noun, singular or mass",NOUN,conj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
homes,False,home,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
hospitals,False,hospital,NNS,"noun, plural",NOUN,conj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
even,True,even,RB,adverb,ADV,advmod
mass,False,mass,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
rapes,False,rape,NNS,"noun, plural",NOUN,conj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
"
     
            ",False,"
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
I,True,I,PRP,"pronoun, personal",PRON,nsubj
saw,False,see,VBD,"verb, past tense",VERB,ccomp
the,True,the,DT,determiner,DET,det
aftermath,False,aftermath,NN,"noun, singular or mass",NOUN,dobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
torched,False,torch,VBN,"verb, past participle",VERB,nmod
internally,False,internally,RB,adverb,ADV,advmod
displaced,False,displace,VBN,"verb, past participle",VERB,amod
people,False,people,NNS,"noun, plural",NOUN,nmod
(,False,(,-LRB-,left round bracket,PUNCT,punct
IDP,False,IDP,NNP,"noun, proper singular",PROPN,appos
),False,),-RRB-,right round bracket,PUNCT,punct
centers,False,center,NNS,"noun, plural",NOUN,pobj
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
witnessed,False,witness,VBD,"verb, past tense",VERB,conj
the,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,nmod
raiding,False,raid,VBG,"verb, gerund or present participle",VERB,amod
residences,False,residence,NNS,"noun, plural",NOUN,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
said,False,say,VBD,"verb, past tense",VERB,ROOT
Hussein,False,Hussein,NNP,"noun, proper singular",PROPN,compound
Haran,False,Haran,NNP,"noun, proper singular",PROPN,nsubj
",",False,",",",","punctuation mark, comma",PUNCT,punct
a,True,a,DT,determiner,DET,det
human,False,human,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
rights,False,right,NNS,"noun, plural",NOUN,compound
activist,False,activist,NN,"noun, singular or mass",NOUN,appos
who,True,who,WP,"wh-pronoun, personal",PRON,nsubj
was,True,be,VBD,"verb, past tense",AUX,relcl
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,compound
city,False,city,NN,"noun, singular or mass",NOUN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
el,False,el,NNP,"noun, proper singular",PROPN,compound
-,False,-,HYPH,"punctuation mark, hyphen",PUNCT,punct
Fasher,False,Fasher,NNP,"noun, proper singular",PROPN,pobj
when,True,when,WRB,wh-adverb,SCONJ,advmod
the,True,the,DT,determiner,DET,det
fighting,False,fighting,NN,"noun, singular or mass",NOUN,nsubj
broke,False,break,VBD,"verb, past tense",VERB,advcl
out,True,out,RP,"adverb, particle",ADP,prt
before,True,before,IN,"conjunction, subordinating or preposition",ADP,prep
fleeing,False,flee,VBG,"verb, gerund or present participle",VERB,pcomp
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
Geneina,False,Geneina,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
another,True,another,DT,determiner,DET,det
city,False,city,NN,"noun, singular or mass",NOUN,appos
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
region,False,region,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
then,True,then,RB,adverb,ADV,advmod
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
Chad,False,Chad,NNP,"noun, proper singular",PROPN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
Even,True,even,RB,adverb,ADV,advmod
the,True,the,DT,determiner,DET,det
hospitals,False,hospital,NNS,"noun, plural",NOUN,nsubjpass
were,True,be,VBD,"verb, past tense",AUX,auxpass
looted,False,loot,VBN,"verb, past participle",VERB,ROOT
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
At,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
Geneina,False,Geneina,NNP,"noun, proper singular",PROPN,poss
’s,True,’s,POS,possessive ending,PART,case
research,False,research,NN,"noun, singular or mass",NOUN,compound
hospital,False,hospital,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
they,True,they,PRP,"pronoun, personal",PRON,nsubj
stole,False,steal,VBD,"verb, past tense",VERB,ccomp
the,True,the,DT,determiner,DET,det
blood,False,blood,NN,"noun, singular or mass",NOUN,compound
bank,False,bank,NN,"noun, singular or mass",NOUN,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
they,True,they,PRP,"pronoun, personal",PRON,nsubj
spilled,False,spill,VBD,"verb, past tense",VERB,conj
the,True,the,DT,determiner,DET,det
blood,False,blood,NN,"noun, singular or mass",NOUN,dobj
all,True,all,RB,adverb,ADV,advmod
over,True,over,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
street,False,street,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
Haran,False,Haran,NNP,"noun, proper singular",PROPN,nsubj
",",False,",",",","punctuation mark, comma",PUNCT,punct
who,True,who,WP,"wh-pronoun, personal",PRON,nsubj
works,False,work,VBZ,"verb, 3rd person singular present",VERB,relcl
at,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
Strategic,False,Strategic,NNP,"noun, proper singular",PROPN,compound
Initiative,False,Initiative,NNP,"noun, proper singular",PROPN,pobj
for,True,for,IN,"conjunction, subordinating or preposition",ADP,prep
Women,False,Women,NNPS,"noun, proper plural",PROPN,pobj
in,True,in,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
Horn,False,Horn,NNP,"noun, proper singular",PROPN,pobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
Africa,False,Africa,NNP,"noun, proper singular",PROPN,pobj
(,False,(,-LRB-,left round bracket,PUNCT,punct
SIHA,False,SIHA,NNP,"noun, proper singular",PROPN,appos
),False,),-RRB-,right round bracket,PUNCT,punct
",",False,",",",","punctuation mark, comma",PUNCT,punct
told,False,tell,VBD,"verb, past tense",VERB,ROOT
CNN,False,CNN,NNP,"noun, proper singular",PROPN,dobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
“,False,"""",``,opening quotation mark,PUNCT,punct
The,True,the,DT,determiner,DET,det
only,True,only,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
way,False,way,NN,"noun, singular or mass",NOUN,nsubj
I,True,I,PRP,"pronoun, personal",PRON,nsubj
can,True,can,MD,"verb, modal auxiliary",AUX,aux
explain,False,explain,VB,"verb, base form",VERB,relcl
this,True,this,DT,determiner,PRON,dobj
is,True,be,VBZ,"verb, 3rd person singular present",AUX,ROOT
that,True,that,IN,"conjunction, subordinating or preposition",SCONJ,mark
they,True,they,PRP,"pronoun, personal",PRON,nsubj
did,True,do,VBD,"verb, past tense",AUX,aux
n’t,True,not,RB,adverb,PART,neg
want,False,want,VB,"verb, base form",VERB,ccomp
to,True,to,TO,"infinitival ""to""",PART,aux
leave,False,leave,VB,"verb, base form",VERB,xcomp
a,True,a,DT,determiner,DET,det
drop,False,drop,NN,"noun, singular or mass",NOUN,dobj
of,True,of,IN,"conjunction, subordinating or preposition",ADP,prep
blood,False,blood,NN,"noun, singular or mass",NOUN,pobj
for,True,for,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
ethnic,False,ethnic,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
Africans,False,Africans,NNPS,"noun, proper plural",PROPN,pobj
[,False,[,-LRB-,left round bracket,PUNCT,punct
who,True,who,WP,"wh-pronoun, personal",PRON,nsubj
claim,False,claim,VBP,"verb, non-3rd person singular present",VERB,relcl
no,True,no,DT,determiner,DET,det
Arab,False,arab,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
ancestry,False,ancestry,NN,"noun, singular or mass",NOUN,dobj
],False,],-RRB-,right round bracket,PUNCT,punct
being,True,be,VBG,"verb, gerund or present participle",AUX,auxpass
treated,False,treat,VBN,"verb, past participle",VERB,acl
at,True,at,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
hospital,False,hospital,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
This,True,this,DT,determiner,PRON,nsubj
is,True,be,VBZ,"verb, 3rd person singular present",AUX,ccomp
an,True,an,DT,determiner,DET,det
ethnic,False,ethnic,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
cleansing,False,cleansing,NN,"noun, singular or mass",NOUN,compound
project,False,project,NN,"noun, singular or mass",NOUN,attr
",",False,",",",","punctuation mark, comma",PUNCT,punct
”,False,"""",'',closing quotation mark,PUNCT,punct
he,True,he,PRP,"pronoun, personal",PRON,nsubj
added,False,add,VBD,"verb, past tense",VERB,ROOT
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
" 
     
            ",False," 
     
            ",_SP,whitespace,SPACE,dep
On,True,on,IN,"conjunction, subordinating or preposition",ADP,prep
Wednesday,False,Wednesday,NNP,"noun, proper singular",PROPN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
the,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,nsubj
abducted,False,abduct,VBD,"verb, past tense",VERB,ROOT
and,True,and,CC,"conjunction, coordinating",CCONJ,cc
executed,False,execute,VBD,"verb, past tense",VERB,conj
West,False,West,NNP,"noun, proper singular",PROPN,compound
Darfur,False,Darfur,NNP,"noun, proper singular",PROPN,compound
Governor,False,Governor,NNP,"noun, proper singular",PROPN,compound
Khamis,False,Khamis,NNP,"noun, proper singular",PROPN,compound
Abbakar,False,Abbakar,NNP,"noun, proper singular",PROPN,dobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
according,False,accord,VBG,"verb, gerund or present participle",VERB,prep
to,True,to,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
Sudanese,False,sudanese,JJ,"adjective (English), other noun-modifier (Chinese)",ADJ,amod
military,False,military,NN,"noun, singular or mass",NOUN,pobj
.,False,.,.,"punctuation mark, sentence closer",PUNCT,punct
The,True,the,DT,determiner,DET,det
RSF,False,RSF,NNP,"noun, proper singular",PROPN,nsubj
denied,False,deny,VBD,"verb, past tense",VERB,ROOT
responsibility,False,responsibility,NN,"noun, singular or mass",NOUN,dobj
for,True,for,IN,"conjunction, subordinating or preposition",ADP,prep
the,True,the,DT,determiner,DET,det
killing,False,killing,NN,"noun, singular or mass",NOUN,pobj
",",False,",",",","punctuation mark, comma",PUNCT,punct
blaming,False,blame,VBG,"verb, gerund or present participle",VERB,advcl
“,False,"""",``,opening quotation mark,PUNCT,punct
